$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
1  2.085e-02  2.884e-03  4.037e-03  1.010e-02  2.414e-03  1.732e-02  2.301e-08  2.169e-08  8.941e-10  1.016e-09   -0.3526    0.2628   -0.4049    0.3717    0.3675   -0.3516    3.1416    3.1416  1.402e-18  3.175e-20    3.1416  1.402e-18  110.0000 1
2 -6.026e-03 -3.397e-02 -1.221e-02  2.291e-02 -1.668e-02  4.093e-03  1.995e-08  2.265e-08  1.064e-09  1.047e-09   -0.1130   -0.7910 -9.180e-03    0.4226    0.1816   -0.3755    3.1416    3.1416 -2.426e-20  1.383e-21    3.1416 -2.426e-20  110.0000 1
3 -4.367e-03 -1.888e-02  1.752e-02 -5.503e-03 -1.991e-02 -1.437e-02  2.210e-08  2.146e-08  1.049e-09  1.028e-09    0.2688 -8.206e-02   -0.7323 -7.671e-02    0.6821 -5.626e-02    3.1416    3.1416 -1.992e-20 -3.174e-21    3.1416 -1.992e-20  110.0000 1
4  2.586e-02 -1.604e-02 -1.936e-03  2.711e-02  3.546e-04 -3.213e-03  2.151e-08  2.110e-08  1.185e-09  9.215e-10   -0.2869    0.1682 -6.765e-02   -0.2085   -0.2451    0.1329    3.1416    3.1416  4.588e-17  3.880e-27    3.1416  4.588e-17  110.0000 1
5  3.318e-02 -7.484e-03  8.147e-04  1.181e-02 -3.311e-03  2.177e-03  2.542e-08  1.686e-08  8.785e-10  8.717e-10    0.3681   -0.6111   -0.3695    0.5093    0.2121   -0.1991    3.1416    3.1416 -1.470e-18 -6.413e-24    3.1416 -1.470e-18  110.0000 1
6 -6.167e-03 -1.054e-02 -2.634e-02  1.014e-02  3.360e-02  5.078e-03  2.021e-08  2.180e-08  1.108e-09  1.120e-09   -0.1321    0.2474    0.3204    0.3523  6.447e-02 -6.158e-02    3.1416    3.1416 -8.393e-20 -3.741e-24    3.1416 -8.393e-20  110.0000 1
7 -3.905e-03  1.725e-02  2.083e-02 -2.073e-03 -3.392e-02  5.019e-03  1.931e-08  2.219e-08  9.813e-10  9.846e-10    0.1698    0.6836    0.1004  7.329e-02    0.1979 -4.963e-03    3.1416    3.1416 -4.894e-21 -2.697e-24    3.1416 -4.894e-21  110.0000 1
8  1.090e-02  7.464e-03  5.102e-03  9.849e-03 -1.347e-02 -1.088e-03  2.135e-08  2.017e-08  1.130e-09  1.267e-09  1.803e-02 -9.349e-02  5.797e-02    0.1469    0.1146  3.341e-03    3.1416    3.1416 -8.085e-22  2.623e-24    3.1416 -8.085e-22  110.0000 1
9  3.018e-02  8.197e-04  1.691e-02 -2.354e-03 -8.111e-03  2.069e-02  2.038e-08  2.660e-08  1.098e-09  8.922e-10   -0.2584  7.273e-02    0.1671 -5.645e-03   -0.2195    0.2950    3.1416    3.1416  3.971e-18  1.106e-25    3.1416  3.971e-18  110.0000 1
10  7.194e-03 -3.805e-03  2.280e-02  6.407e-03 -1.490e-02  1.916e-02  2.280e-08  1.864e-08  1.036e-09  8.545e-10  3.720e-02 -1.236e-02  9.200e-02   -0.2633    0.6758    0.2785    3.1416    3.1416 -1.920e-20  1.888e-20    3.1416 -1.920e-20  110.0000 1
