$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
18  1.489e-02 -1.279e-02 -2.041e-03 -1.495e-02 -1.141e-02  1.755e-02  2.081e-08  2.350e-08  9.773e-10  1.241e-09    0.3227   -0.1603   -0.6670    0.3657    0.2637   -0.3926    3.1416    3.1416  9.324e-19  3.727e-24    0.6658  9.324e-19  110.0000 1
19 -2.966e-02  5.700e-03 -1.787e-03  1.931e-02 -6.316e-03 -4.899e-03  2.084e-08  2.778e-08  9.057e-10  1.000e-09   -0.1792   -0.1877    0.1971    0.4250    0.2160   -0.1465    3.1416    3.1416  8.172e-21 -3.333e-20    0.6477  8.172e-21  110.0000 1
20  1.752e-02 -3.737e-02 -2.713e-02 -4.881e-03  2.870e-04  1.382e-02  2.433e-08  2.298e-08  1.008e-09  1.023e-09    0.1880  4.067e-02   -0.1912    0.2573    0.6929   -0.3331    3.1416    3.1416  1.073e-20 -4.821e-26    0.8281  1.073e-20  110.0000 1
21 -2.965e-02  1.408e-02 -1.229e-02  2.077e-04 -9.507e-04  3.484e-02  2.238e-08  2.180e-08  1.034e-09  9.164e-10   -0.4696 -3.771e-02    0.1096 -5.580e-02    0.3861  6.236e-02    3.1416    3.1416  7.105e-22 -6.916e-22    3.1416  7.105e-22  110.0000 1
22  7.673e-03  1.365e-02  4.307e-03 -1.523e-03  1.838e-02  1.185e-02  2.543e-08  2.288e-08  1.093e-09  1.046e-09    0.4225   -0.1649   -0.2095   -0.2523 -8.417e-02   -0.3726    3.1416    3.1416  2.093e-20    0.    0.7505  2.093e-20  110.0000 1
23 -2.574e-03 -3.371e-02  5.226e-03  1.036e-02  4.987e-03  1.797e-02  2.572e-08  2.138e-08  8.492e-10  8.609e-10   -0.1009   -0.2245 -7.233e-02   -0.1575    0.1029   -0.1093    3.1416    3.1416 -9.122e-20 -1.501e-22    3.1416 -9.122e-20  110.0000 1
24  5.517e-03  2.792e-02 -1.413e-02  7.569e-03  1.256e-02  1.477e-02  1.856e-08  2.195e-08  1.109e-09  1.254e-09 -3.658e-02  5.165e-02   -0.5738    0.2306    0.8243  2.834e-02    3.1416    3.1416  4.410e-19  6.546e-20    0.7916  4.410e-19  110.0000 1
25 -3.073e-02 -2.558e-02 -2.114e-02  1.321e-03  7.681e-03 -2.341e-02  2.276e-08  2.308e-08  9.061e-10  9.327e-10    0.3393   -0.1561   -0.3646   -0.4689 -2.103e-02 -3.085e-02    3.1416    3.1416  1.961e-17 -7.621e-24    3.1416  1.961e-17  110.0000 1
26 -4.750e-03  1.605e-02  1.073e-03  5.813e-03 -4.345e-03  7.294e-03  1.988e-08  2.241e-08  1.265e-09  1.042e-09   -0.3058    0.4492   -0.2109   -0.1802    0.4267   -0.1932    3.1416    3.1416 -2.483e-19 -3.420e-25    3.1416 -2.483e-19  110.0000 1
27  9.845e-03  2.503e-02  1.335e-02 -2.423e-03  1.262e-02  9.580e-03  1.722e-08  2.083e-08  9.310e-10  9.532e-10    0.1645  8.786e-02    0.2174    0.2592 -5.948e-02    0.1504    3.1416    3.1416  1.636e-18 -1.325e-21    3.1416  1.636e-18  110.0000 1
