$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
1  2.229e-02  2.884e-03  4.315e-03  1.010e-02  2.581e-03  1.732e-02  2.301e-08  2.169e-08  8.941e-10  1.016e-09   -0.3526    0.2628   -0.4049    0.3717    0.3675   -0.3516    3.1416    3.1416 -5.819e-21 -3.106e-21    3.1416 -5.819e-21  110.0000 2
2 -6.442e-03 -3.397e-02 -1.306e-02  2.291e-02 -1.783e-02  4.093e-03  1.995e-08  2.265e-08  1.064e-09  1.047e-09   -0.1130   -0.7910 -9.180e-03    0.4226    0.1816   -0.3755    3.1416    3.1416  4.821e-19 -5.915e-22    3.1416  4.821e-19  110.0000 2
3 -4.668e-03 -1.888e-02  1.873e-02 -5.503e-03 -2.128e-02 -1.437e-02  2.210e-08  2.146e-08  1.049e-09  1.028e-09    0.2688 -8.206e-02   -0.7323 -7.671e-02    0.6821 -5.626e-02    3.1416    3.1416 -1.647e-21 -6.198e-25    3.1416 -1.647e-21  110.0000 2
4  2.764e-02 -1.604e-02 -2.069e-03  2.711e-02  3.791e-04 -3.213e-03  2.151e-08  2.110e-08  1.185e-09  9.215e-10   -0.2869    0.1682 -6.765e-02   -0.2085   -0.2451    0.1329    3.1416    3.1416 -2.161e-20 -2.118e-22    3.1416 -2.161e-20  110.0000 2
5  3.547e-02 -7.484e-03  8.710e-04  1.181e-02 -3.539e-03  2.177e-03  2.542e-08  1.686e-08  8.785e-10  8.717e-10    0.3681   -0.6111   -0.3695    0.5093    0.2121   -0.1991    3.1416    3.1416 -2.868e-18 -7.700e-26    3.1416 -2.868e-18  110.0000 2
6 -6.593e-03 -1.054e-02 -2.816e-02  1.014e-02  3.592e-02  5.078e-03  2.021e-08  2.180e-08  1.108e-09  1.120e-09   -0.1321    0.2474    0.3204    0.3523  6.447e-02 -6.158e-02    3.1416    3.1416  4.895e-17 -3.991e-21    3.1416  4.895e-17  110.0000 2
7 -4.175e-03  1.725e-02  2.227e-02 -2.073e-03 -3.626e-02  5.019e-03  1.931e-08  2.219e-08  9.813e-10  9.846e-10    0.1698    0.6836    0.1004  7.329e-02    0.1979 -4.963e-03    3.1416    3.1416  1.123e-20 -4.146e-21    3.1416  1.123e-20  110.0000 2
8  1.165e-02  7.464e-03  5.455e-03  9.849e-03 -1.440e-02 -1.088e-03  2.135e-08  2.017e-08  1.130e-09  1.267e-09  1.803e-02 -9.349e-02  5.797e-02    0.1469    0.1146  3.341e-03    3.1416    3.1416 -7.140e-19  1.474e-16    3.1416 -7.140e-19  110.0000 2
9  3.226e-02  8.197e-04  1.808e-02 -2.354e-03 -8.671e-03  2.069e-02  2.038e-08  2.660e-08  1.098e-09  8.922e-10   -0.2584  7.273e-02    0.1671 -5.645e-03   -0.2195    0.2950    3.1416    3.1416 -2.272e-16 -4.610e-25    3.1416 -2.272e-16  110.0000 2
10  7.691e-03 -3.805e-03  2.437e-02  6.407e-03 -1.593e-02  1.916e-02  2.280e-08  1.864e-08  1.036e-09  8.545e-10  3.720e-02 -1.236e-02  9.200e-02   -0.2633    0.6758    0.2785    3.1416    3.1416  2.350e-20 -2.994e-24    3.1416  2.350e-20  110.0000 2
11  1.894e-02 -3.788e-02 -9.352e-04 -2.888e-02  2.213e-02  1.933e-02  2.166e-08  2.094e-08  9.786e-10  1.172e-09    0.4163   -0.4174   -0.2350    0.3212    0.5580    0.4815    3.1416    3.1416  2.786e-19  1.231e-21    3.1416  2.786e-19  110.0000 2
12 -2.177e-02 -4.387e-03  2.009e-02 -2.921e-02  8.044e-03  2.843e-02  2.571e-08  1.776e-08  1.047e-09  9.213e-10    0.1907   -0.2157   -0.6731  7.316e-02 -3.811e-02   -0.2444    3.1416    3.1416  6.942e-20 -3.224e-24    3.1416  6.942e-20  110.0000 2
13  7.467e-03  4.558e-03 -2.588e-02  2.126e-02  1.350e-02  1.616e-02  2.492e-08  2.620e-08  1.089e-09  9.703e-10  9.671e-02   -0.4450  6.241e-02    0.2124    0.2028    0.1667    3.1416    3.1416  2.012e-17    0.    0.9080  2.012e-17  110.0000 2
14 -2.094e-02  1.563e-02 -6.997e-03 -1.870e-02  2.712e-02 -2.272e-02  2.317e-08  2.210e-08  1.088e-09  9.816e-10  1.388e-02    0.3066  2.018e-02 -4.870e-03    0.1916   -0.2676    3.1416    3.1416  5.433e-22  1.886e-23    3.1416  5.433e-22  110.0000 2
15 -1.859e-02 -2.266e-02 -8.809e-03 -1.770e-02 -1.505e-02  9.577e-03  2.127e-08  2.397e-08  8.760e-10  7.923e-10 -8.763e-03   -0.2326    0.3242    0.1709   -0.4857    0.3591    3.1416    3.1416  7.366e-19 -5.490e-20    3.1416  7.366e-19  110.0000 2
16  4.263e-03 -5.737e-03  1.140e-02  1.509e-02 -2.056e-03  1.414e-02  2.345e-08  2.348e-08  8.485e-10  1.020e-09   -0.5017  1.368e-02    0.1374   -0.1912    0.1290    0.2282    3.1416    3.1416  4.332e-20  2.932e-24    3.1416  4.332e-20  110.0000 2
17 -2.126e-02  3.563e-02  2.800e-02  3.387e-04  2.341e-02 -1.235e-02  1.956e-08  2.325e-08  1.086e-09  1.088e-09   -0.1248   -0.6080  4.051e-02    0.3724   -0.8328    0.1854    3.1416    3.1416 -7.685e-22 -7.362e-24    3.1416 -7.685e-22  110.0000 2
18  1.379e-02 -1.279e-02 -1.890e-03 -1.495e-02 -1.056e-02  1.755e-02  2.081e-08  2.350e-08  9.773e-10  1.241e-09    0.3227   -0.1603   -0.6670    0.3657    0.2637   -0.3926    3.1416    3.1416  1.509e-19 -3.941e-22    0.7722  1.509e-19  110.0000 2
19 -2.746e-02  5.700e-03 -1.654e-03  1.931e-02 -5.848e-03 -4.899e-03  2.084e-08  2.778e-08  9.057e-10  1.000e-09   -0.1792   -0.1877    0.1971    0.4250    0.2160   -0.1465    3.1416    3.1416  1.368e-19  5.755e-21    0.7997  1.368e-19  110.0000 2
20  1.622e-02 -3.737e-02 -2.512e-02 -4.881e-03  2.657e-04  1.382e-02  2.433e-08  2.298e-08  1.008e-09  1.023e-09    0.1880  4.067e-02   -0.1912    0.2573    0.6929   -0.3331    3.1416    3.1416 -6.373e-22  8.315e-26    3.1416 -6.373e-22  110.0000 2
21 -2.745e-02  1.408e-02 -1.138e-02  2.077e-04 -8.802e-04  3.484e-02  2.238e-08  2.180e-08  1.034e-09  9.164e-10   -0.4696 -3.771e-02    0.1096 -5.580e-02    0.3861  6.236e-02    3.1416    3.1416  3.291e-21  2.724e-25    3.1416  3.291e-21  110.0000 2
22  7.104e-03  1.365e-02  3.988e-03 -1.523e-03  1.701e-02  1.185e-02  2.543e-08  2.288e-08  1.093e-09  1.046e-09    0.4225   -0.1649   -0.2095   -0.2523 -8.417e-02   -0.3726    3.1416    3.1416  4.997e-17    0.    3.1416  4.997e-17  110.0000 2
23 -2.383e-03 -3.371e-02  4.838e-03  1.036e-02  4.617e-03  1.797e-02  2.572e-08  2.138e-08  8.492e-10  8.609e-10   -0.1009   -0.2245 -7.233e-02   -0.1575    0.1029   -0.1093    3.1416    3.1416 -4.428e-20 -3.003e-22    3.1416 -4.428e-20  110.0000 2
24  5.108e-03  2.792e-02 -1.308e-02  7.569e-03  1.163e-02  1.477e-02  1.856e-08  2.195e-08  1.109e-09  1.254e-09 -3.658e-02  5.165e-02   -0.5738    0.2306    0.8243  2.834e-02    3.1416    3.1416  5.534e-24  2.307e-23    3.1416  5.534e-24  110.0000 2
25 -2.845e-02 -2.558e-02 -1.958e-02  1.321e-03  7.111e-03 -2.341e-02  2.276e-08  2.308e-08  9.061e-10  9.327e-10    0.3393   -0.1561   -0.3646   -0.4689 -2.103e-02 -3.085e-02    3.1416    3.1416  4.726e-20  3.011e-23    3.1416  4.726e-20  110.0000 2
26 -4.398e-03  1.605e-02  9.938e-04  5.813e-03 -4.023e-03  7.294e-03  1.988e-08  2.241e-08  1.265e-09  1.042e-09   -0.3058    0.4492   -0.2109   -0.1802    0.4267   -0.1932    3.1416    3.1416 -1.853e-22  3.025e-26    3.1416 -1.853e-22  110.0000 2
27  9.114e-03  2.503e-02  1.236e-02 -2.423e-03  1.169e-02  9.580e-03  1.722e-08  2.083e-08  9.310e-10  9.532e-10    0.1645  8.786e-02    0.2174    0.2592 -5.948e-02    0.1504    3.1416    3.1416  1.314e-22 -8.183e-23    3.1416  1.314e-22  110.0000 2
28 -1.888e-02 -3.542e-03 -1.411e-02  1.978e-02 -7.797e-03 -8.636e-03  1.978e-08  2.023e-08  7.511e-10  9.505e-10    0.1704  3.829e-02 -1.228e-02   -0.3567   -0.1320   -0.1949    3.1416    3.1416  2.276e-20 -6.473e-21    3.1416  2.276e-20  110.0000 2
29 -3.143e-02 -3.249e-03 -4.121e-03  8.439e-04  1.660e-02 -4.672e-03  2.321e-08  2.356e-08  1.069e-09  8.872e-10 -2.803e-02 -9.397e-02    0.2760    0.1219    0.1379 -3.095e-02    3.1416    3.1416  5.838e-21 -5.603e-24    3.1416  5.838e-21  110.0000 2
30 -1.083e-02  6.801e-03  3.054e-03  3.156e-02  8.372e-03  4.815e-03  2.102e-08  2.351e-08  9.368e-10  9.213e-10    0.1405   -0.3064    0.3957   -0.5407   -0.4298   -0.1291    3.1416    3.1416 -6.868e-22  3.139e-22    3.1416 -6.868e-22  110.0000 2
31  1.736e-02 -4.885e-02  7.717e-03  5.136e-03 -5.590e-03  3.005e-02  2.155e-08  2.048e-08  1.078e-09  8.836e-10   -0.1833   -0.6812 -2.529e-04    0.5461    0.2095   -0.1190    3.1416    3.1416 -4.674e-22  9.236e-25    3.1416 -4.674e-22  110.0000 2
32 -1.507e-02 -1.046e-03  2.532e-03 -9.613e-03  5.769e-03  3.709e-02  1.911e-08  2.050e-08  1.103e-09  1.223e-09    0.4183   -0.5379   -0.1465   -0.1522    0.1874 -7.633e-03    3.1416    3.1416 -5.322e-21  5.414e-22    3.1416 -5.322e-21  110.0000 2
